month, format: day,hour,forecast,일최고기온,6시간강수량,하늘상태,풍속,강수확률,풍향,6시간적설,일최저기온,습도,강수형태,3시간기온
1, 10,1100.0,4.0,0.0,0.0,1.0,3.6,0.0,297.0,0.0,-3.0,40.0,0.0,0.0
1, 10,1100.0,7.0,-2.0,,1.0,4.0,0.0,304.0,,0.0,35.0,0.0,-2.0
1, 10,1100.0,10.0,-3.0,0.0,1.0,3.7,0.0,304.0,0.0,,30.0,0.0,-3.0
1, 10,1100.0,13.0,-1.0,,1.0,4.3,0.0,312.0,,,25.0,0.0,-1.0
1, 10,1100.0,16.0,3.0,0.0,1.0,3.7,0.0,311.0,0.0,,30.0,0.0,3.0
1, 10,1100.0,19.0,5.0,,2.0,4.4,10.0,303.0,,,30.0,0.0,5.0
1, 10,1100.0,22.0,3.0,0.0,2.0,4.0,10.0,283.0,0.0,,40.0,0.0,3.0
1, 10,1100.0,25.0,2.0,,2.0,3.2,10.0,268.0,,,50.0,0.0,2.0
1, 10,1100.0,28.0,1.0,0.0,2.0,2.6,10.0,230.0,0.0,,55.0,0.0,1.0
1, 10,1100.0,31.0,0.0,,2.0,3.1,10.0,232.0,,,60.0,0.0,0.0
1, 10,1100.0,34.0,1.0,0.0,2.0,3.1,10.0,217.0,0.0,,60.0,0.0,1.0
1, 10,1100.0,37.0,2.0,,2.0,2.3,10.0,223.0,,,55.0,0.0,2.0
1, 10,1100.0,40.0,7.0,0.0,2.0,3.1,10.0,264.0,0.0,,40.0,0.0,7.0
1, 10,1100.0,43.0,8.0,,2.0,4.1,10.0,262.0,,,40.0,0.0,8.0
1, 10,1100.0,46.0,6.0,0.0,2.0,4.1,10.0,255.0,0.0,,50.0,0.0,6.0
1, 10,1100.0,49.0,4.0,,2.0,3.3,10.0,339.0,,,55.0,0.0,4.0
1, 10,1100.0,52.0,3.0,0.0,2.0,2.6,10.0,347.0,0.0,,55.0,0.0,3.0
1, 10,1400.0,4.0,-2.0,,1.0,4.0,0.0,304.0,,-3.0,35.0,0.0,-2.0
1, 10,1400.0,7.0,-3.0,0.0,1.0,3.7,0.0,304.0,0.0,0.0,30.0,0.0,-3.0
1, 10,1400.0,10.0,-1.0,,1.0,4.3,0.0,312.0,,,25.0,0.0,-1.0
1, 10,1400.0,13.0,3.0,0.0,1.0,3.7,0.0,311.0,0.0,,30.0,0.0,3.0
1, 10,1400.0,16.0,5.0,,2.0,4.4,10.0,303.0,,,30.0,0.0,5.0
