month, format: day,hour,forecast,3시간기온,6시간적설,풍향,풍속,강수형태,습도,6시간강수량,하늘상태,일최고기온,일최저기온,강수확률
1, 10,1100.0,4.0,0.5,0.0,215.0,1.7,0.0,76.0,0.0,2.0,2.9,-0.8,10.0
1, 10,1100.0,7.0,0.3,,226.0,2.6,0.0,77.0,,3.0,2.4,-5.6,20.0
1, 10,1100.0,10.0,0.2,0.0,313.0,4.1,0.0,72.0,0.0,3.0,,,20.0
1, 10,1100.0,13.0,0.2,,329.0,4.4,0.0,62.0,,2.0,,,10.0
1, 10,1100.0,16.0,0.8,0.0,323.0,4.3,0.0,51.0,0.0,1.0,,,0.0
1, 10,1100.0,19.0,1.9,,325.0,6.0,0.0,46.0,,1.0,,,0.0
1, 10,1100.0,22.0,-1.0,0.0,330.0,7.8,0.0,52.0,0.0,1.0,,,0.0
1, 10,1100.0,25.0,-2.9,,333.0,7.2,0.0,60.0,,1.0,,,0.0
1, 10,1100.0,28.0,-4.0,0.0,334.0,7.4,0.0,58.0,0.0,1.0,,,0.0
1, 10,1100.0,31.0,-4.7,,340.0,5.7,0.0,58.0,,1.0,,,0.0
1, 10,1100.0,34.0,-5.6,0.0,346.0,3.8,0.0,63.0,0.0,1.0,,,0.0
1, 10,1100.0,37.0,-3.7,,348.0,1.4,0.0,60.0,,1.0,,,0.0
1, 10,1100.0,40.0,-1.2,0.0,357.0,1.5,0.0,41.0,0.0,1.0,,,0.0
1, 10,1100.0,43.0,1.5,,327.0,2.3,0.0,42.0,,1.0,,,0.0
1, 10,1100.0,46.0,-0.8,0.0,341.0,4.1,0.0,54.0,0.0,1.0,,,0.0
1, 10,1100.0,49.0,-3.0,,5.0,1.1,0.0,72.0,,1.0,,,0.0
1, 10,1100.0,52.0,-4.0,0.0,3.0,1.2,0.0,77.0,0.0,1.0,,,0.0
1, 10,1400.0,4.0,0.3,,226.0,2.6,0.0,77.0,,2.0,2.9,-0.8,11.0
1, 10,1400.0,7.0,-0.7,0.0,313.0,4.1,0.0,72.0,0.0,3.0,2.4,-5.6,20.0
1, 10,1400.0,10.0,0.2,,329.0,4.4,0.0,62.0,,2.0,,,10.0
1, 10,1400.0,13.0,0.8,0.0,323.0,4.3,0.0,51.0,0.0,1.0,,,0.0
1, 10,1400.0,16.0,1.9,,325.0,6.0,0.0,46.0,,1.0,,,0.0
1, 10,1400.0,19.0,-1.0,0.0,330.0,7.8,0.0,52.0,0.0,1.0,,,0.0
1, 10,1400.0,22.0,-2.9,,333.0,7.2,0.0,60.0,,1.0,,,0.0
